,country_x,Opposition Challenge,OppBoycott,year,client,PollsBad,PollsGood,IncumbentRan,GoodEcon,polcomp,adjexconst,IOScore,reltradelog,transition,PostCW,Opposition Win,Transitional,OppGain,EconCrisis,exconst,tenure,leverage,Harrass,Rentier,v2x_polyarchy,ViolenceAfter,Violence,PostProtestFraud,longten,Major Aid Recipient
39,Cuba,0,0,1948,0,0,0,0,1,7.0,3.0,2.0,0.21052971172008023,0,0,0,0,0,0,3.0,4.0,0,0,1,0.439,0,0,0,0,1
40,Haiti,0,0,1950,0,0,0,1,1,4.0,5.0,2.0,0.014258626471873391,0,0,0,0,0,0,5.0,4.0,0,0,0,0.169,0,0,0,0,0
45,Haiti,0,1,1995,0,0,0,0,0,7.0,6.0,2.0,0.0488269616595937,0,1,0,0,0,1,6.0,1.0,0,0,1,0.24,0,0,0,0,1
46,Haiti,0,1,2000,0,0,1,0,0,-88.0,6.75,2.0,0.1258575527202314,1,1,0,0,0,1,-88.0,4.0,1,1,1,0.49,0,1,0,0,1
50,Dominican Republic,0,0,1947,0,0,0,1,1,1.0,1.0,1.0,0.04367400452183328,0,0,0,0,0,0,1.0,17.0,0,0,0,0.148,0,0,0,1,0
53,Dominican Republic,0,1,1970,0,0,0,1,1,6.0,3.0,2.0,0.07233167824858666,0,0,0,0,0,0,3.0,4.0,0,0,0,0.281,0,0,0,0,0
54,Dominican Republic,1,1,1974,0,0,0,1,1,6.0,3.0,2.0,0.13200157183806493,0,0,0,0,0,0,3.0,8.0,0,0,0,0.275,0,0,1,0,0
55,Dominican Republic,1,0,1978,0,0,0,1,1,6.0,3.0,2.0,0.2014025996650395,0,0,1,0,1,0,3.0,12.0,0,0,0,0.282,1,0,1,0,0
56,Dominican Republic,0,0,1982,0,0,0,0,0,7.0,5.0,2.0,0.26666118530687494,0,0,0,0,0,1,5.0,4.0,0,0,1,0.487,0,0,0,0,1
57,Dominican Republic,1,0,1986,0,0,0,0,0,7.0,5.0,2.0,0.23189195637112353,0,0,1,0,1,0,5.0,4.0,0,0,1,0.515,0,0,1,0,1
58,Dominican Republic,1,0,1990,0,1,0,1,0,7.0,5.0,2.0,0.35982581158041216,0,1,0,0,0,1,5.0,4.0,0,0,0,0.519,0,1,1,0,0
59,Dominican Republic,1,0,1994,0,0,0,1,0,7.0,5.0,2.0,0.4581438790644295,0,1,0,0,0,1,5.0,8.0,0,1,0,0.433,1,1,1,0,0
60,Dominican Republic,1,0,1996,0,0,0,0,0,7.0,5.0,2.0,0.46867533415474544,0,1,1,0,1,1,5.0,10.0,0,1,0,0.459,0,1,0,0,0
61,Dominican Republic,1,0,1996,0,0,0,0,0,7.0,5.0,2.0,0.46867533415474544,0,1,1,0,1,1,5.0,10.0,0,1,0,0.459,0,1,0,0,0
66,Jamaica,1,0,1967,0,0,0,0,0,10.0,7.0,1.0,0.20619763833326138,0,0,0,0,0,0,7.0,5.0,0,0,1,0.553,0,1,1,0,1
67,Jamaica,1,0,1972,0,0,0,1,0,10.0,7.0,2.0,0.27781008385283384,0,0,1,0,1,0,7.0,5.0,0,0,1,0.566,0,0,0,0,1
68,Jamaica,0,0,1976,0,0,0,1,0,10.0,7.0,2.0,0.4398341663237268,0,0,0,0,0,0,7.0,4.0,0,1,1,0.567,0,0,0,0,1
69,Jamaica,1,0,1980,0,0,0,1,0,10.0,7.0,2.0,0.3973555828282983,0,0,1,0,1,0,7.0,8.0,0,0,1,0.515,0,1,0,0,1
70,Jamaica,0,1,1983,0,0,1,1,0,10.0,7.0,2.0,0.4206793813175734,0,0,0,0,0,0,7.0,3.0,0,0,1,0.473,0,0,0,0,1
71,Jamaica,1,0,1989,0,1,0,1,0,10.0,7.0,2.0,0.5007132495474715,0,0,1,0,1,0,7.0,9.0,0,0,1,0.53,0,0,0,0,1
72,Jamaica,0,0,1993,0,0,1,1,1,10.0,7.0,2.0,0.6417108576622138,0,1,0,0,0,0,7.0,1.0,0,1,1,0.588,0,1,0,0,1
77,Trinidad and Tobago,0,0,1966,0,0,0,1,0,5.0,5.0,1.0,0.32400113074663095,0,0,0,0,0,0,5.0,4.0,0,0,0,0.573,0,0,0,0,0
79,Trinidad and Tobago,0,0,1976,0,0,0,1,1,5.0,5.0,2.0,1.0335466239665592,0,0,0,0,1,0,5.0,14.0,0,0,0,0.563,0,0,0,1,0
89,Mexico,0,0,1946,0,0,0,0,1,2.0,3.0,1.0,0.0,0,0,0,0,0,0,3.0,6.0,0,0,0,0.195,0,1,0,0,0
90,Mexico,1,0,1952,0,0,0,0,1,2.0,3.0,1.0,0.039422294339267125,0,0,0,0,0,0,3.0,6.0,0,0,1,0.201,1,1,1,0,1
91,Mexico,0,0,1958,0,0,0,0,1,2.0,3.0,1.0,0.048491979941513635,0,0,0,0,0,0,3.0,6.0,0,0,1,0.249,0,0,0,0,1
92,Mexico,0,0,1964,0,0,1,0,1,2.0,3.0,1.0,0.04288429428507676,0,0,0,0,0,0,3.0,6.0,0,0,0,0.222,0,0,0,0,0
93,Mexico,0,0,1970,0,0,1,0,1,2.0,3.0,1.0,0.056866676310427786,0,0,0,0,0,0,3.0,6.0,0,0,0,0.244,0,0,0,0,0
94,Mexico,0,0,1982,0,0,1,0,0,6.0,3.0,1.0,0.39976616241827906,0,0,0,0,1,0,3.0,6.0,0,0,0,0.312,0,0,0,0,0
95,Mexico,1,0,1988,0,0,1,0,0,6.0,3.0,2.0,0.35828563440765804,0,0,0,0,1,0,3.0,6.0,0,0,0,0.341,0,1,1,0,0
96,Mexico,1,0,1994,0,0,1,0,1,7.0,4.0,2.0,0.7744808852646489,0,1,0,0,0,0,4.0,6.0,0,0,0,0.438,0,0,1,0,0
100,Guatemala,1,0,1950,0,0,0,0,1,10.0,3.0,1.0,0.036378658037613414,0,0,0,0,0,0,3.0,5.0,0,1,0,0.408,0,1,1,0,0
101,Guatemala,1,0,1957,1,0,0,0,1,2.0,1.0,1.0,0.05970256344467616,0,0,1,1,0,0,1.0,3.0,1,1,0,0.091,1,1,1,0,1
102,Guatemala,1,0,1958,1,0,0,0,1,2.0,1.0,1.0,0.059951444245015875,0,0,1,1,1,0,1.0,1.0,1,0,0,0.101,0,0,1,0,1
111,Guatemala,1,0,1990,0,1,0,0,0,7.0,3.0,1.0,0.15436290624640128,0,1,1,0,1,0,3.0,4.0,1,1,1,0.367,0,1,0,0,1
112,Guatemala,1,0,1991,0,1,0,0,0,7.0,3.0,2.0,0.18832450161808725,0,1,1,0,1,0,3.0,5.0,1,1,1,0.372,0,1,0,0,1
115,Guatemala,1,0,1999,0,1,0,1,0,9.0,6.0,2.0,0.3902641651139252,0,1,1,0,1,0,6.0,3.0,0,0,1,0.485,0,1,0,0,1
116,Guatemala,1,0,1999,0,1,0,1,0,9.0,6.0,2.0,0.3902641651139252,0,1,1,0,1,0,6.0,3.0,0,0,1,0.485,0,1,0,0,1
117,Guatemala,1,0,2003,0,1,0,0,0,9.0,6.0,2.0,0.46155405891012136,0,1,1,0,1,0,6.0,3.0,1,0,1,0.569,0,1,0,0,1
118,Guatemala,1,0,2003,0,1,0,0,0,9.0,6.0,2.0,0.46155405891012136,0,1,1,0,1,0,6.0,3.0,1,0,1,0.569,0,1,0,0,1
123,Honduras,1,0,1954,0,0,0,0,0,6.0,3.0,1.0,0.05183677609817391,0,0,1,0,0,1,3.0,5.0,0,1,1,0.26,0,1,0,0,1
124,Honduras,1,1,1956,0,0,0,1,0,6.0,3.0,1.0,0.047548153101385444,0,0,0,0,0,1,3.0,2.0,0,1,1,0.148,1,1,1,0,1
135,Honduras,1,1,2013,0,0,1,0,0,9.0,5.0,1.0,0.8184846540391579,0,1,0,0,0,0,5.0,3.0,0,1,1,0.446,0,1,1,0,1
136,El Salvador,0,0,1950,0,0,0,1,1,-88.0,1.0,1.0,0.039850599097388924,1,0,0,1,0,0,-88.0,1.0,0,0,1,0.11,0,0,0,0,1
137,El Salvador,1,1,1956,0,0,0,0,1,2.0,3.0,1.0,0.07587623137537988,0,0,0,0,0,0,3.0,6.0,0,1,1,0.184,1,0,1,0,1
138,El Salvador,0,0,1967,0,0,0,0,0,6.0,3.0,1.0,0.04830397733237547,0,0,0,0,0,0,3.0,5.0,0,0,0,0.195,0,0,0,0,0
140,El Salvador,1,0,1977,0,0,0,0,1,6.0,3.0,1.0,0.1463073571686511,0,0,0,0,0,0,3.0,5.0,0,1,0,0.184,1,1,1,0,0
144,El Salvador,0,0,1994,0,0,0,0,1,7.0,5.0,2.0,0.26932212648534815,0,1,0,0,0,0,5.0,5.0,0,0,1,0.397,0,0,0,0,1
145,El Salvador,0,0,1994,0,0,0,0,1,7.0,5.0,2.0,0.26932212648534815,0,1,0,0,0,0,5.0,5.0,0,0,1,0.397,0,0,0,0,1
146,El Salvador,0,0,1999,0,0,1,0,1,9.0,5.0,2.0,0.4365115054421221,0,1,0,0,0,0,5.0,5.0,0,0,1,0.495,0,0,0,0,1
147,El Salvador,0,0,2004,0,0,1,0,1,9.0,5.0,2.0,0.6377820687033634,0,1,0,0,0,0,5.0,5.0,1,0,1,0.539,0,0,0,0,1
148,El Salvador,1,0,2009,0,1,0,0,0,9.0,5.0,2.0,0.7013336916076577,0,1,1,0,1,0,5.0,5.0,0,0,1,0.544,0,0,0,0,1
149,Nicaragua,1,0,1947,0,0,0,0,1,2.0,1.0,1.0,0.0,0,0,0,0,0,0,1.0,10.0,0,0,1,0.142,1,0,1,0,1
150,Nicaragua,0,1,1950,0,0,0,1,1,2.0,1.0,2.0,0.026115155410738968,0,0,0,0,0,0,1.0,3.0,0,0,1,0.132,0,0,0,0,1
151,Nicaragua,0,1,1957,0,0,0,1,1,2.0,1.0,2.0,0.07909834608712098,0,0,0,0,0,0,1.0,1.0,0,0,1,0.184,0,0,0,0,1
152,Nicaragua,0,0,1974,1,0,0,1,0,2.0,1.0,2.0,0.13589602574169038,0,0,0,1,0,1,1.0,7.0,0,0,0,0.167,0,0,0,0,1
153,Nicaragua,0,1,1984,0,0,0,1,0,2.0,2.0,2.0,0.12193080518640814,0,0,0,0,0,0,2.0,5.0,0,0,1,0.174,0,1,0,0,1
154,Nicaragua,1,0,1990,0,0,1,1,0,6.0,3.0,2.0,0.023175175669383433,0,1,1,0,1,1,3.0,11.0,1,0,0,0.402,0,0,0,0,0
156,Nicaragua,0,0,2001,0,1,0,0,0,7.0,7.0,2.0,0.23219025043700306,0,1,0,0,0,1,7.0,4.0,1,0,1,0.587,0,0,0,0,1
158,Nicaragua,0,0,2011,0,0,1,1,1,9.0,7.0,2.0,0.4503542665114831,0,1,0,0,0,0,7.0,4.0,1,0,1,0.479,0,0,0,0,1
159,Costa Rica,1,0,1948,0,0,0,0,1,8.0,5.0,1.0,0.0,0,0,1,0,1,0,5.0,4.0,0,1,1,0.33,1,1,1,0,1
177,Panama,1,0,1948,0,0,0,0,0,4.0,3.0,1.0,0.0,0,0,0,1,0,1,3.0,3.0,0,0,1,0.234,1,1,1,0,1
178,Panama,0,1,1952,0,0,0,0,0,5.0,4.0,1.0,0.07881569880572287,0,0,0,0,0,0,4.0,1.0,0,1,1,0.267,0,0,0,0,1
179,Panama,0,0,1956,0,0,0,0,1,6.0,5.0,1.0,0.09070964331156554,0,0,0,0,0,0,5.0,1.0,0,0,1,0.382,0,0,0,0,1
180,Panama,1,0,1960,0,0,0,0,1,6.0,5.0,1.0,0.09850584434691159,0,0,1,0,1,0,5.0,4.0,0,0,0,0.402,0,0,0,0,0
181,Panama,1,0,1964,0,0,0,0,1,6.0,5.0,1.0,0.1081061310673419,0,0,1,0,1,0,5.0,4.0,0,0,0,0.39,0,0,1,0,0
182,Panama,1,0,1968,0,0,0,0,1,6.0,5.0,1.0,0.13483213718368253,0,0,1,0,1,0,5.0,4.0,0,1,0,0.313,1,1,1,0,0
183,Panama,1,0,1984,0,0,0,1,0,3.0,3.0,1.0,0.4074371750739191,0,0,0,0,0,0,3.0,1.0,0,0,1,0.139,0,1,1,0,1
184,Panama,1,0,1989,0,0,0,0,0,1.0,2.0,1.0,0.30673098425424233,0,0,1,0,1,0,2.0,6.0,0,0,1,0.143,1,0,1,0,1
191,Colombia,0,0,1966,0,0,1,0,0,9.0,6.0,1.0,0.03152171238126005,0,0,0,0,0,1,6.0,4.0,0,0,1,0.357,0,0,0,0,1
197,Colombia,0,0,1990,0,0,1,0,1,9.0,6.0,2.0,0.17002990756693243,0,1,0,0,1,0,6.0,4.0,0,0,1,0.432,0,1,0,0,1
198,Colombia,0,0,1994,0,0,1,0,1,9.0,7.0,2.0,0.258860150290956,0,1,0,0,0,0,7.0,4.0,0,0,1,0.57,0,1,0,0,1
199,Colombia,0,0,1994,0,0,1,0,1,9.0,7.0,2.0,0.258860150290956,0,1,0,0,0,0,7.0,4.0,0,0,1,0.57,0,1,0,0,1
200,Colombia,1,0,1998,0,1,0,0,0,7.0,6.0,2.0,0.34265884923396583,0,1,1,0,1,0,6.0,4.0,0,0,1,0.581,0,1,0,0,1
201,Colombia,1,0,1998,0,1,0,0,0,7.0,6.0,2.0,0.34265884923396583,0,1,1,0,1,0,6.0,4.0,0,0,1,0.581,0,1,0,0,1
202,Colombia,1,0,2002,0,0,0,0,1,7.0,6.0,2.0,0.2847446693931596,0,1,1,0,1,0,6.0,4.0,0,0,1,0.53,0,0,0,0,1
203,Colombia,0,0,2006,0,0,1,1,1,7.0,6.0,2.0,0.3710789335855579,0,1,0,0,1,0,6.0,4.0,0,0,0,0.589,0,0,0,0,0
204,Colombia,1,0,2010,0,0,1,0,1,7.0,6.0,2.0,0.4668132555560082,0,1,1,0,0,0,6.0,8.0,0,0,1,0.57,0,0,0,0,1
205,Colombia,1,0,2010,0,1,0,0,1,7.0,6.0,2.0,0.4668132555560082,0,1,1,0,0,0,6.0,8.0,0,0,1,0.57,0,0,0,0,1
207,Venezuela,1,0,1957,0,0,0,1,1,6.0,3.0,1.0,0.25789515796732276,0,0,1,0,1,0,3.0,7.0,0,1,0,0.096,1,0,0,0,0
208,Venezuela,0,0,1958,0,0,0,1,1,6.0,3.0,1.0,0.36241096906332193,0,0,0,1,1,0,3.0,8.0,0,0,0,0.098,0,0,0,0,0
218,Venezuela,0,0,2006,0,0,1,1,1,7.0,5.0,2.0,1.0016180278718854,0,1,0,0,0,0,5.0,7.0,0,0,0,0.468,0,0,0,0,0
219,Venezuela,0,0,2012,0,0,1,1,0,6.0,3.0,2.0,1.0854974604025682,0,1,0,0,0,0,3.0,13.0,0,0,0,0.429,0,0,0,1,0
220,Venezuela,1,0,2013,0,0,1,0,0,6.0,3.0,2.0,1.1421787532687564,0,1,0,1,0,1,3.0,1.0,0,0,0,0.414,1,1,1,0,0
221,Guyana,0,0,1968,0,0,1,1,0,6.0,7.0,1.0,0.172157425397627,0,0,0,0,0,1,7.0,2.0,0,0,1,0.468,0,0,0,0,1
222,Guyana,1,0,1973,0,0,0,1,1,6.0,6.0,1.0,0.2205824374872817,0,0,0,0,0,0,6.0,7.0,0,1,0,0.335,1,0,1,0,0
223,Guyana,0,1,1980,0,0,0,1,0,6.0,5.0,1.0,0.367561426790017,0,0,0,0,0,0,5.0,14.0,0,1,1,0.272,0,0,0,1,1
224,Guyana,0,0,1985,0,0,0,1,0,3.0,1.0,1.0,0.2571199629812215,0,0,0,0,0,0,1.0,19.0,1,1,0,0.248,0,0,0,1,0
225,Guyana,1,0,1992,0,0,0,1,1,3.0,1.0,2.0,0.399253270972392,0,1,1,0,1,0,1.0,7.0,0,0,1,0.308,0,1,1,0,1
226,Guyana,1,0,1997,0,0,0,1,1,7.0,5.0,2.0,0.5276061868359897,0,1,1,1,0,0,5.0,5.0,0,0,1,0.447,1,1,1,0,1
227,Guyana,1,0,2001,0,0,0,1,0,7.0,5.0,2.0,0.46253694870792034,0,1,0,0,0,0,5.0,2.0,0,0,1,0.543,0,1,1,0,1
229,Guyana,1,0,2011,0,0,0,0,1,7.0,5.0,2.0,0.7109148674419605,0,1,0,0,1,0,5.0,12.0,0,0,1,0.593,1,0,1,0,1
230,Surinam,1,0,1987,0,0,0,1,0,2.0,1.0,2.0,0.4365817782806599,0,0,1,0,1,1,1.0,7.0,0,0,0,0.173,0,0,0,0,0
239,Ecuador,1,0,1960,0,0,0,1,0,6.0,3.0,1.0,0.040643098484224094,0,0,1,0,1,0,3.0,4.0,0,0,1,0.368,0,0,0,0,1
258,Ecuador,0,0,2013,0,0,1,1,0,7.0,4.0,2.0,0.8517482023973689,0,1,0,0,0,1,4.0,6.0,0,1,1,0.582,0,0,0,0,1
267,Peru,0,0,1995,0,0,1,1,0,6.0,3.0,2.0,0.17617088419244029,0,1,0,0,0,0,3.0,5.0,0,0,1,0.28,0,0,0,0,1
268,Peru,1,1,2000,0,0,0,1,0,6.0,3.0,2.0,0.21643051773790142,0,1,0,0,0,0,3.0,10.0,1,0,1,0.389,0,1,1,0,1
269,Peru,1,1,2000,0,0,0,1,0,6.0,3.0,2.0,0.21643051773790142,0,1,0,0,0,0,3.0,10.0,1,0,1,0.389,0,1,1,0,1
276,Brazil,0,0,1945,0,0,0,0,1,1.0,1.0,1.0,0.0,0,0,0,1,0,0,1.0,15.0,0,0,0,0.064,0,0,0,1,0
294,Bolivia,1,0,1966,0,0,1,1,1,3.0,2.0,1.0,0.040420633043783606,0,0,0,1,0,0,2.0,2.0,0,0,1,0.127,0,0,1,0,1
295,Bolivia,1,0,1978,0,0,0,0,1,1.0,1.0,1.0,0.09458486624401635,0,0,1,0,0,0,1.0,7.0,0,0,1,0.091,0,0,1,0,1
305,Paraguay,0,0,1968,0,0,1,1,1,2.0,1.0,1.0,0.010999692892566184,0,0,0,0,0,0,1.0,14.0,1,0,1,0.166,0,0,0,1,1
306,Paraguay,0,1,1973,0,0,0,1,1,2.0,1.0,1.0,0.01809968755564536,0,0,0,0,0,0,1.0,19.0,0,1,1,0.172,0,0,0,1,1
307,Paraguay,0,1,1978,0,0,0,1,1,2.0,1.0,1.0,0.04954250420744039,0,0,0,0,0,0,1.0,24.0,0,1,1,0.164,0,0,0,1,1
308,Paraguay,0,1,1983,0,0,0,1,1,2.0,1.0,1.0,0.0633141399916569,0,0,0,0,0,0,1.0,29.0,0,1,0,0.166,0,0,0,1,0
309,Paraguay,0,1,1988,0,0,0,1,1,2.0,1.0,1.0,0.0482095163858536,0,0,0,0,0,0,1.0,34.0,0,1,0,0.165,0,0,0,1,0
310,Paraguay,0,0,1989,0,0,1,1,0,2.0,1.0,1.0,0.06240503017148865,0,0,0,1,0,0,1.0,35.0,0,0,0,0.172,0,0,0,1,0
311,Paraguay,0,0,1993,0,1,0,0,0,7.0,7.0,1.0,0.12862762857102897,0,1,0,0,0,0,7.0,4.0,0,0,0,0.468,0,1,0,0,0
313,Paraguay,1,0,2000,0,0,0,0,0,7.0,7.0,2.0,0.1527858900706786,0,1,1,0,1,0,7.0,1.0,0,0,1,0.547,0,0,0,0,1
314,Paraguay,0,0,2003,0,1,0,0,0,7.0,7.0,2.0,0.05951764765417631,0,1,0,0,0,1,7.0,4.0,0,0,1,0.574,0,0,0,0,1
321,Chile,1,0,1970,0,1,0,0,0,7.0,5.0,2.0,0.10551289097573187,0,0,1,0,1,0,5.0,6.0,1,0,1,0.582,0,0,0,0,1
322,Chile,1,0,1989,0,1,0,0,1,8.0,2.0,2.0,0.32224753645481585,0,0,1,0,1,0,2.0,16.0,0,0,0,0.109,0,0,0,1,0
332,Argentina,0,0,1946,0,0,0,0,1,2.0,1.0,1.0,0.01281526691341244,0,0,0,0,0,0,1.0,2.0,0,0,0,0.094,0,1,0,0,0
333,Argentina,0,0,1951,0,0,0,1,0,1.0,1.0,1.0,0.04688358628831924,0,0,0,0,0,0,1.0,5.0,0,1,0,0.383,0,1,0,0,0
335,Argentina,1,0,1973,0,0,0,0,0,1.0,1.0,2.0,0.05276135131895746,0,0,1,0,1,0,1.0,2.0,0,1,0,0.13,1,1,0,0,0
336,Argentina,0,0,1973,0,0,0,0,0,1.0,1.0,2.0,0.05276135131895746,0,0,0,0,0,0,1.0,2.0,0,0,0,0.13,1,1,0,0,0
396,Netherlands,0,0,1946,0,0,0,1,0,10.0,7.0,0.0,0.009493669310273714,0,0,0,0,1,1,7.0,1.0,0,0,0,0.172,0,0,0,0,0
417,Belgium,1,0,1946,0,0,0,1,1,8.0,7.0,0.0,0.0,0,0,1,0,1,0,7.0,1.0,0,0,0,0.234,0,0,0,0,0
418,Belgium,1,0,1949,0,0,0,1,1,8.0,7.0,3.0,0.0,0,0,1,0,0,0,7.0,2.0,0,0,1,0.514,0,0,0,0,1
483,Spain,0,0,1977,0,0,0,1,0,-88.0,1.0,2.0,0.2201506666578977,1,0,0,0,1,1,-88.0,1.0,1,0,0,0.163,0,0,0,0,0
484,Spain,0,0,1979,0,0,0,1,0,9.0,7.0,2.0,0.26030514630408735,0,0,0,0,0,1,7.0,3.0,0,0,0,0.528,0,0,0,0,0
520,Poland,1,0,1990,0,1,0,0,0,9.0,4.0,1.0,0.06753159540263082,0,1,1,1,1,1,4.0,9.0,0,0,1,0.326,0,0,0,0,1
521,Poland,1,0,1990,0,1,0,0,0,9.0,4.0,1.0,0.06753159540263082,0,1,1,1,1,1,4.0,9.0,0,0,1,0.326,0,0,0,0,1
